Major,MajorName,Campus,College,Major_Abbr,Pathway,deg_level,deg_type,DegreeLevelTypeDesc,deg_title,StartQtr,EndQtr,CIP_Code,Dept_Code,Department,dept_fas_org_code,Funding,OnlineOnly
1-B PHYS-00-11,Physics (Bothell),Bothell     ,V - UW Bothell              ,B PHYS,00,1,1,Bachelor Of Arts,BACHELOR OF ARTS (PHYSICS)                                  ,2015 Autumn,No End Quarter,400801,1093,PHYSICAL SCIENCE        ,5500005000,Tuition Based,
1-B PHYS-00-15,Physics (Bothell),Bothell     ,V - UW Bothell              ,B PHYS,00,1,5,Bachelor Of Science,BACHELOR OF SCIENCE (PHYSICS)                               ,2015 Autumn,No End Quarter,400801,1093,PHYSICAL SCIENCE        ,5500005000,Tuition Based,
1-B PRE-00-00,Premajor (Bothell Campus),Bothell     ,V - UW Bothell              ,B PRE ,00,0,0,No Degree Level,,2005 Autumn,No End Quarter,309999,0864,CTR FOR UNIV ST & PROG  ,5600001000,Tuition Based,
1-B PSY-00-11,Psychology,Bothell     ,V - UW Bothell              ,B PSY ,00,1,1,Bachelor Of Arts,BACHELOR OF ARTS (PSYCHOLOGY)                               ,2022 Autumn,No End Quarter,420101,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-B STA-00-11,Social Thought and Action (Bothell),Bothell     ,V - UW Bothell              ,B STA ,00,1,1,Bachelor Of Arts,BACHELOR OF ARTS (SOCIAL THOUGHT AND ACTION)                ,2023 Autumn,No End Quarter,380103,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-B STS-00-11,"Science, Technology, and Society (Bthll)",Bothell     ,V - UW Bothell              ,B STS ,00,1,1,Bachelor Of Arts,"BACHELOR OF ARTS (SCIENCE, TECHNOLOGY, AND SOCIETY)         ",2022 Autumn,No End Quarter,301501,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-B VIS-00-00,Bothell Visiting Student,Bothell     ,V - UW Bothell              ,B VIS ,00,0,0,No Degree Level,BACHELOR OF ARTS                                            ,1996 Summer,No End Quarter,309999,0883,BOTHELL CAMPUS(VISITING),5600001000,Tuition Based,
1-B VIS-00-00,Bothell Visiting Student,Bothell     ,V - UW Bothell              ,B VIS ,00,0,0,No Degree Level,PRE-DOCTOR                                                  ,1996 Summer,No End Quarter,309999,0883,BOTHELL CAMPUS(VISITING),5600001000,Tuition Based,
1-B VIS-00-11,Bothell Visiting Student,Bothell     ,V - UW Bothell              ,B VIS ,00,1,1,Bachelor Of Arts,BACHELOR OF ARTS                                            ,1996 Summer,No End Quarter,309999,0883,BOTHELL CAMPUS(VISITING),5600001000,Tuition Based,
1-B VIS-00-30,Bothell Visiting Student,Bothell     ,V - UW Bothell              ,B VIS ,00,3,0,Pre-Doctor,BACHELOR OF ARTS                                            ,1996 Summer,No End Quarter,309999,0883,BOTHELL CAMPUS(VISITING),5600001000,Tuition Based,
1-B VIS-00-30,Bothell Visiting Student,Bothell     ,V - UW Bothell              ,B VIS ,00,3,0,Pre-Doctor,PRE-DOCTOR                                                  ,1996 Summer,No End Quarter,309999,0883,BOTHELL CAMPUS(VISITING),5600001000,Tuition Based,
1-B XPRE-00-00,Extended Premajor (Bothell Campus),Bothell     ,V - UW Bothell              ,B XPRE,00,0,0,No Degree Level,,2008 Winter,No End Quarter,309999,0864,CTR FOR UNIV ST & PROG  ,5600001000,Tuition Based,
1-BCULST-00-20,Bothell - Cultural Studies,Bothell     ,V - UW Bothell              ,BCULST,00,2,0,Grad Non-Matric,MASTER OF ARTS IN CULTURAL STUDIES                          ,2006 Autumn,No End Quarter,302601,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-BCULST-00-22,Bothell - Cultural Studies,Bothell     ,V - UW Bothell              ,BCULST,00,2,2,Master Of Arts In,MASTER OF ARTS IN CULTURAL STUDIES                          ,2006 Autumn,No End Quarter,302601,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-BCWRIT-00-20,Creative Writing and Poetics (Bothell),Bothell     ,V - UW Bothell              ,BCWRIT,00,2,0,Grad Non-Matric,MASTER OF FINE ARTS (CREATIVE WRITING AND POETICS)          ,2012 Autumn,No End Quarter,231302,0863,INTER ARTS & SCI - BOTHL,5600001000,Continuum College Fee Based,
1-BCWRIT-00-24,Creative Writing and Poetics (Bothell),Bothell     ,V - UW Bothell              ,BCWRIT,00,2,4,Master Of Fine Arts,MASTER OF FINE ARTS (CREATIVE WRITING AND POETICS)          ,2012 Autumn,No End Quarter,231302,0863,INTER ARTS & SCI - BOTHL,5600001000,Continuum College Fee Based,
1-BCYBER-00-26,Cybersecurity Engineering (Bothell),Bothell     ,V - UW Bothell              ,BCYBER,00,2,6,Master Of Science In,MASTER OF SCIENCE IN CYBER SECURITY ENGINEERING             ,2019 Autumn,No End Quarter,111003,0865,COMPUTING & SOFTWARE SYS,5500003000,Continuum College Fee Based,
1-BCYBER-00-26,Cybersecurity Engineering (Bothell),Bothell     ,V - UW Bothell              ,BCYBER,00,2,6,Master Of Science In,MASTER OF SCIENCE IN CYBERSECURITY ENGINEERING              ,2019 Autumn,No End Quarter,111003,0865,COMPUTING & SOFTWARE SYS,5500003000,Continuum College Fee Based,
1-BESS-00-15,Earth System Science,Bothell     ,V - UW Bothell              ,BESS  ,00,1,5,Bachelor Of Science,BACHELOR OF SCIENCE (EARTH SYSTEM SCIENCE)                  ,2019 Autumn,No End Quarter,400601,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-BFYBSN-00-16,Nursing - Direct Entry (Bothell),Bothell     ,V - UW Bothell              ,BFYBSN,00,1,6,Bachelor Of Science In,BACHELOR OF SCIENCE IN NURSING                              ,2014 Autumn,No End Quarter,513801,0870,NURSING/HEALTH (UWB)    ,5700001000,Tuition Based,
1-BIS-00-00,Interdisciplinary Studies,Bothell     ,V - UW Bothell              ,BIS   ,00,0,0,No Degree Level,BACHELOR OF ARTS (INTERDISC ST: COMP U.S. & INTER STUDIES)  ,2002 Autumn,No End Quarter,309999,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-BIS-00-11,Interdisciplinary Studies,Bothell     ,V - UW Bothell              ,BIS   ,00,1,1,Bachelor Of Arts,BACHELOR OF ARTS (INTERDISC ST: COMP U.S. & INTER STUDIES)  ,2002 Autumn,No End Quarter,309999,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-BISDBL-12-11,Interdisciplinary Studies (GST & AMS),Bothell     ,V - UW Bothell              ,BISDBL,12,1,1,Bachelor Of Arts,BACHELOR OF ARTS (INTERDISC ST: GLOBAL STUDIES/AMER STUDIES),2002 Autumn,No End Quarter,309999,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-BISDBL-13-11,Interdisciplinary Studies (GST & CLA),Bothell     ,V - UW Bothell              ,BISDBL,13,1,1,Bachelor Of Arts,"BACHELOR OF ARTS (INTERDISC ST:GLOBAL STUDIES/CLTRE,LIT&ART)",2002 Autumn,No End Quarter,309999,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-BISDBL-14-11,Interdisciplinary Studies (GST & SEB),Bothell     ,V - UW Bothell              ,BISDBL,14,1,1,Bachelor Of Arts,BACHELOR OF ARTS (INTERDISC ST: GLOBAL STUDIES/ETHICS&BEHAV),2002 Autumn,No End Quarter,309999,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-BISDBL-15-11,Interdisciplinary Studies (GST & STE),Bothell     ,V - UW Bothell              ,BISDBL,15,1,1,Bachelor Of Arts,BACHELOR OF ARTS (INTERDISC ST: GLOBAL STUDIES/SCIENCE&TECH),2002 Autumn,No End Quarter,309999,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-BISDBL-16-11,Interdisciplinary Studies (GST & CP),Bothell     ,V - UW Bothell              ,BISDBL,16,1,1,Bachelor Of Arts,BACHELOR OF ARTS (INTERDISC ST: GLOBAL STUDIES/COMMUNTY PSY),2007 Autumn,No End Quarter,309999,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-BISDBL-17-11,Interdisciplinary Studies (GST & IA),Bothell     ,V - UW Bothell              ,BISDBL,17,1,1,Bachelor Of Arts,BACHELOR OF ARTS (INTERDISC ST: GLOBAL STUDIES/INTERDS ARTS),2010 Spring,No End Quarter,309999,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-BISDBL-18-11,Interdisciplinary Studies (SEB & MCS),Bothell     ,V - UW Bothell              ,BISDBL,18,1,1,Bachelor Of Arts,"BACHELOR OF ARTS (INTERDISC ST: SOC, ETH, HUBEH/MEDIA & COM)",2010 Autumn,No End Quarter,309999,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-BISDBL-19-11,Interdisciplinary Studies (CLA & MCS),Bothell     ,V - UW Bothell              ,BISDBL,19,1,1,Bachelor Of Arts,"BACHELOR OF ARTS (INTERDISC ST: CULT, LIT, ART/MEDIA & COM) ",2011 Winter,No End Quarter,309999,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-BISDBL-23-11,Interdisciplinary Studies (AMS & CLA),Bothell     ,V - UW Bothell              ,BISDBL,23,1,1,Bachelor Of Arts,"BACHELOR OF ARTS (INTERDISC ST: AMER ST/CULTURE, LIT & ARTS)",2002 Autumn,No End Quarter,309999,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-BISDBL-24-11,Interdisciplinary Studies (AMS & SEB),Bothell     ,V - UW Bothell              ,BISDBL,24,1,1,Bachelor Of Arts,BACHELOR OF ARTS (INTERDISC ST: AMER ST/ETHICS & HUM BEHAV) ,2002 Autumn,No End Quarter,309999,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-BISDBL-25-11,Interdisciplinary Studies (AMS & STE),Bothell     ,V - UW Bothell              ,BISDBL,25,1,1,Bachelor Of Arts,BACHELOR OF ARTS (INTERDISC ST: AMER ST/SCIENCE TECH ENVIR) ,2002 Autumn,No End Quarter,309999,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-BISDBL-26-11,Interdisciplinary Studies (AMS & CP),Bothell     ,V - UW Bothell              ,BISDBL,26,1,1,Bachelor Of Arts,BACHELOR OF ARTS (INTERDISC ST: AMER ST/COMMUNITY PSYCHOLGY),2007 Autumn,No End Quarter,309999,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-BISDBL-34-11,Interdisciplinary Studies (CLA & SEB),Bothell     ,V - UW Bothell              ,BISDBL,34,1,1,Bachelor Of Arts,BACHELOR OF ARTS (INTERDISC ST: CULTURE LIT ART/ETH&H BEHAV),2002 Autumn,No End Quarter,309999,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-BISDBL-35-11,Interdisciplinary Studies (CLA & STE),Bothell     ,V - UW Bothell              ,BISDBL,35,1,1,Bachelor Of Arts,BACHELOR OF ARTS (INTERDISC ST: CLTR LIT ART/SCI TECH ENV)  ,2002 Autumn,No End Quarter,309999,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-BISDBL-36-11,Interdisciplinary Studies (CLA & CP),Bothell     ,V - UW Bothell              ,BISDBL,36,1,1,Bachelor Of Arts,BACHELOR OF ARTS (INTERDISC ST: CLTR LIT ART/COMMUNTY PSYCH),2007 Autumn,No End Quarter,309999,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-BISDBL-45-11,Interdisciplinary Studies (SEB & STE),Bothell     ,V - UW Bothell              ,BISDBL,45,1,1,Bachelor Of Arts,BACHELOR OF ARTS (INTERDISC ST: ETHICS&HUM BEH/SCI TECH ENV),2002 Autumn,No End Quarter,309999,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-BISDBL-46-11,Interdisciplinary Studies (SEB & CP),Bothell     ,V - UW Bothell              ,BISDBL,46,1,1,Bachelor Of Arts,BACHELOR OF ARTS (INTERDISC ST: ETHICS&HUM BEH/COMMUNTY PSY),2007 Autumn,No End Quarter,309999,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-BISDBL-56-11,Interdisciplinary Studies (STE & CP),Bothell     ,V - UW Bothell              ,BISDBL,56,1,1,Bachelor Of Arts,BACHELOR OF ARTS (INTERDISC ST: SCI TECH ENV/COMMUNTY PSYCH),2007 Autumn,No End Quarter,309999,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-BISIND-00-11,Interdisciplinary Studies (IND),Bothell     ,V - UW Bothell              ,BISIND,00,1,1,Bachelor Of Arts,BACHELOR OF ARTS (INTERDISC ST: INDIVIDUAL STUDY)           ,2008 Autumn,No End Quarter,240102,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-BISLEP-00-11,"Interdisc St: Law, Economics, Public Pol",Bothell     ,V - UW Bothell              ,BISLEP,00,1,1,Bachelor Of Arts,"BACHELOR OF ARTS (INTERDISC ST: LAW, ECONOMICS & PUBLIC POL)",2011 Autumn,No End Quarter,451004,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-BISMCS-00-11,Interdisciplinary Studies (MCS),Bothell     ,V - UW Bothell              ,BISMCS,00,1,1,Bachelor Of Arts,BACHELOR OF ARTS (INTERDISC ST: MEDIA AND COMMUNICATION ST) ,2009 Autumn,No End Quarter,090102,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-BPOLST-00-20,Policy Studies (Bothell Campus),Bothell     ,V - UW Bothell              ,BPOLST,00,2,0,Grad Non-Matric,MASTER OF ARTS IN POLICY STUDIES                            ,2005 Autumn,No End Quarter,440501,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-BPOLST-00-22,Policy Studies (Bothell Campus),Bothell     ,V - UW Bothell              ,BPOLST,00,2,2,Master Of Arts In,MASTER OF ARTS IN POLICY STUDIES                            ,2005 Autumn,No End Quarter,440501,0863,INTER ARTS & SCI - BOTHL,5600001000,Tuition Based,
1-BPPROF-00-00,Pre Professional (Bothell Campus),Bothell     ,V - UW Bothell              ,BPPROF,00,0,0,No Degree Level,,1989 Autumn,No End Quarter,309999,0866,PRE PROF - BOTHELL      ,5100001000,Tuition Based,
1-BPRBUS-00-00,Pre Major in Business Admin (Bothell),Bothell     ,V - UW Bothell              ,BPRBUS,00,0,0,No Degree Level,,2007 Autumn,No End Quarter,520101,0881,BUSINESS ADM - BOTHELL  ,5300001000,Tuition Based,
1-BPRNUR-00-00,Pre Nursing (Bothell),Bothell     ,V - UW Bothell              ,BPRNUR,00,0,0,No Degree Level,,1999 Autumn,No End Quarter,511105,0870,NURSING/HEALTH (UWB)    ,5700001000,Tuition Based,
1-COMP E-00-16,Computer Engineering (Bothell),Bothell     ,V - UW Bothell              ,COMP E,00,1,6,Bachelor Of Science In,BACHELOR OF SCIENCE IN COMPUTER ENGINEERING                 ,2014 Autumn,No End Quarter,140901,1092,ENGINEERING AND MATH    ,5500004000,Tuition Based,
1-CSS-00-00,Computing & Software Systems,Bothell     ,V - UW Bothell              ,CSS   ,00,0,0,No Degree Level,BACHELOR OF SCIENCE (COMPUTING & SOFTWARE SYSTEMS)          ,2000 Autumn,No End Quarter,110101,0865,COMPUTING & SOFTWARE SYS,5500003000,Tuition Based,
1-CSS-00-15,Computing & Software Systems,Bothell     ,V - UW Bothell              ,CSS   ,00,1,5,Bachelor Of Science,BACHELOR OF SCIENCE (COMPUTING & SOFTWARE SYSTEMS)          ,2000 Autumn,No End Quarter,110101,0865,COMPUTING & SOFTWARE SYS,5500003000,Tuition Based,
1-CSS-10-15,Computing & Software Systems: App Prog,Bothell     ,V - UW Bothell              ,CSS   ,10,1,5,Bachelor Of Science,BACHELOR OF SCIENCE (COMPUTING & SOFTWARE SYSTEMS)          ,2013 Spring,No End Quarter,110202,0865,COMPUTING & SOFTWARE SYS,5500003000,Tuition Based,
1-CSS-20-15,Computing & Software Systems: Inf Engr,Bothell     ,V - UW Bothell              ,CSS   ,20,1,5,Bachelor Of Science,BACHELOR OF SCIENCE (COMPUTING & SOFTWARE SYSTEMS)          ,2013 Spring,No End Quarter,110401,0865,COMPUTING & SOFTWARE SYS,5500003000,Tuition Based,
1-CSS-30-15,Computing & Software Systems: Sys Analy,Bothell     ,V - UW Bothell              ,CSS   ,30,1,5,Bachelor Of Science,BACHELOR OF SCIENCE (COMPUTING & SOFTWARE SYSTEMS)          ,2013 Spring,No End Quarter,110501,0865,COMPUTING & SOFTWARE SYS,5500003000,Tuition Based,
1-CSS-40-15,Computing & Software Systems: AP/IE,Bothell     ,V - UW Bothell              ,CSS   ,40,1,5,Bachelor Of Science,BACHELOR OF SCIENCE (COMPUTING & SOFTWARE SYSTEMS)          ,2013 Spring,No End Quarter,119999,0865,COMPUTING & SOFTWARE SYS,5500003000,Tuition Based,
1-CSS-50-15,Computing & Software Systems: AP/SA,Bothell     ,V - UW Bothell              ,CSS   ,50,1,5,Bachelor Of Science,BACHELOR OF SCIENCE (COMPUTING & SOFTWARE SYSTEMS)          ,2013 Spring,No End Quarter,119999,0865,COMPUTING & SOFTWARE SYS,5500003000,Tuition Based,
1-CSS-60-15,Computing & Software Systems: IE/SA,Bothell     ,V - UW Bothell              ,CSS   ,60,1,5,Bachelor Of Science,BACHELOR OF SCIENCE (COMPUTING & SOFTWARE SYSTEMS)          ,2013 Spring,No End Quarter,119999,0865,COMPUTING & SOFTWARE SYS,5500003000,Tuition Based,
1-CSS-70-15,Computing & Software Systems: AP/IE/SA,Bothell     ,V - UW Bothell              ,CSS   ,70,1,5,Bachelor Of Science,BACHELOR OF SCIENCE (COMPUTING & SOFTWARE SYSTEMS)          ,2013 Spring,No End Quarter,119999,0865,COMPUTING & SOFTWARE SYS,5500003000,Tuition Based,
1-CSSE-00-15,Computer Science & Software Engineering,Bothell     ,V - UW Bothell              ,CSSE  ,00,1,5,Bachelor Of Science,BACHELOR OF SCIENCE (COMPUTER SCIENCE & SOFTWARE ENGR)      ,2014 Autumn,No End Quarter,110701,0865,COMPUTING & SOFTWARE SYS,5500003000,Tuition Based,
1-CSSE-00-20,Computer Science & Software Engineering,Bothell     ,V - UW Bothell              ,CSSE  ,00,2,0,Grad Non-Matric,BACHELOR OF SCIENCE (COMPUTER SCIENCE & SOFTWARE ENGR)      ,2014 Autumn,No End Quarter,110701,0865,COMPUTING & SOFTWARE SYS,5500003000,Tuition Based,
1-CSSE-10-15,Computer Sci & Software Engr: App Prog,Bothell     ,V - UW Bothell              ,CSSE  ,10,1,5,Bachelor Of Science,BACHELOR OF SCIENCE (COMPUTER SCIENCE & SOFTWARE ENGR)      ,2012 Spring,No End Quarter,110701,0865,COMPUTING & SOFTWARE SYS,5500003000,Tuition Based,
1-CSSE-20-15,Computer Sci & Software Engr: Inf Engr,Bothell     ,V - UW Bothell              ,CSSE  ,20,1,5,Bachelor Of Science,BACHELOR OF SCIENCE (COMPUTER SCIENCE & SOFTWARE ENGR)      ,2012 Spring,No End Quarter,110401,0865,COMPUTING & SOFTWARE SYS,5500003000,Tuition Based,
1-CSSE-30-15,Computer Sci & Software Engr: Sys Analy,Bothell     ,V - UW Bothell              ,CSSE  ,30,1,5,Bachelor Of Science,BACHELOR OF SCIENCE (COMPUTER SCIENCE & SOFTWARE ENGR)      ,2012 Spring,No End Quarter,110501,0865,COMPUTING & SOFTWARE SYS,5500003000,Tuition Based,
1-CSSE-40-15,Computer Sci & Software Engr: AP/IE,Bothell     ,V - UW Bothell              ,CSSE  ,40,1,5,Bachelor Of Science,BACHELOR OF SCIENCE (COMPUTER SCIENCE & SOFTWARE ENGR)      ,2012 Spring,No End Quarter,119999,0865,COMPUTING & SOFTWARE SYS,5500003000,Tuition Based,
1-CSSE-50-15,Computer Sci & Software Engr: AP/SA,Bothell     ,V - UW Bothell              ,CSSE  ,50,1,5,Bachelor Of Science,BACHELOR OF SCIENCE (COMPUTER SCIENCE & SOFTWARE ENGR)      ,2012 Spring,No End Quarter,119999,0865,COMPUTING & SOFTWARE SYS,5500003000,Tuition Based,
1-CSSE-60-15,Computer Sci & Software Engr: IE/SA,Bothell     ,V - UW Bothell              ,CSSE  ,60,1,5,Bachelor Of Science,BACHELOR OF SCIENCE (COMPUTER SCIENCE & SOFTWARE ENGR)      ,2012 Spring,No End Quarter,119999,0865,COMPUTING & SOFTWARE SYS,5500003000,Tuition Based,
1-CSSE-70-15,Computer Sci & Software Engr: AP/IE/SA,Bothell     ,V - UW Bothell              ,CSSE  ,70,1,5,Bachelor Of Science,BACHELOR OF SCIENCE (COMPUTER SCIENCE & SOFTWARE ENGR)      ,2012 Spring,No End Quarter,119999,0865,COMPUTING & SOFTWARE SYS,5500003000,Tuition Based,
1-CSSE-80-15,C Sci & Softw Eng: Info Assur & Cybersec,Bothell     ,V - UW Bothell              ,CSSE  ,80,1,5,Bachelor Of Science,BACHELOR OF SCIENCE (CSSE: INFO ASSURANCE & CYBERSECURITY)  ,2014 Autumn,No End Quarter,110701,0865,COMPUTING & SOFTWARE SYS,5500003000,Tuition Based,
1-CSSE-90-20,Computer Science & Software Engineering,Bothell     ,V - UW Bothell              ,CSSE  ,90,2,0,Grad Non-Matric,MASTER OF SCIENCE IN COMPUTER SCIENCE & SOFTWARE ENGINEERING,2012 Summer,No End Quarter,110701,0865,COMPUTING & SOFTWARE SYS,5500003000,Continuum College Fee Based,
1-CSSE-90-26,Computer Science & Software Engineering,Bothell     ,V - UW Bothell              ,CSSE  ,90,2,6,Master Of Science In,MASTER OF SCIENCE IN COMPUTER SCIENCE & SOFTWARE ENGINEERING,2012 Summer,No End Quarter,110701,0865,COMPUTING & SOFTWARE SYS,5500003000,Continuum College Fee Based,
1-CSSVIS-00-00,Computing & Software Systems (Visiting),Bothell     ,V - UW Bothell              ,CSSVIS,00,0,0,No Degree Level,,2005 Summer,No End Quarter,110101,0865,COMPUTING & SOFTWARE SYS,5500003000,Tuition Based,
1-CSSX-10-20,Software Design and Development,Bothell     ,V - UW Bothell              ,CSSX  ,10,2,0,Grad Non-Matric,GRADUATE CERTIFICATE IN SOFTWARE DESIGN AND DEVELOPMENT     ,2011 Autumn,No End Quarter,110201,0865,COMPUTING & SOFTWARE SYS,5500003000,Continuum College Fee Based,
1-CSSX-10-35,Software Design and Development,Bothell     ,V - UW Bothell              ,CSSX  ,10,3,5,Graduate Certificate,GRADUATE CERTIFICATE IN SOFTWARE DESIGN AND DEVELOPMENT     ,2011 Autumn,No End Quarter,110201,0865,COMPUTING & SOFTWARE SYS,5500003000,Continuum College Fee Based,
1-EX UWB-00-00,Exchange - UW Bothell,Bothell     ,V - UW Bothell              ,EX UWB,00,0,0,No Degree Level,,2013 Autumn,No End Quarter,240199,1090,BOTHELL CAMPUS(EXCHANGE),5600001000,Tuition Based,
1-EXBBUS-00-00,Exchange - Business Administration,Bothell     ,V - UW Bothell              ,EXBBUS,00,0,0,No Degree Level,,2012 Autumn,No End Quarter,520201,1090,BOTHELL CAMPUS(EXCHANGE),5600001000,Tuition Based,
1-EXBEE-00-00,Exchange - Electrical Engineering,Bothell     ,V - UW Bothell              ,EXBEE ,00,0,0,No Degree Level,,2012 Autumn,No End Quarter,141001,1090,BOTHELL CAMPUS(EXCHANGE),5600001000,Tuition Based,

