,Major1,Gender,Y,N,Percent,Y(Campus),N(Campus),Percent(Campus),Ratio_in_Major_vs_Campus,CI95_low,CI95_high,Lower_Error,Upper_Error,"p (proportion test, two-sided)"
0,Nursing,All Others,0,175,0.0,16,5628,0.283,0.0,0.058982034823019724,16.166912572877827,0.058982034823019724,16.166912572877827,0.9867523913001135
1,Business (MBA),All Others,0,81,0.0,16,5628,0.283,0.0,0.1275825018968417,34.656846468595795,0.1275825018968417,34.656846468595795,0.6031681172841674
2,Biology,All Others,0,182,0.0,16,5628,0.283,0.0,0.05671124043420752,15.549140513624751,0.05671124043420752,15.549140513624751,0.9649736040189244
3,Psychology,All Others,0,174,0.0,16,5628,0.283,0.0,0.05932136435916083,16.25919578363408,0.05932136435916083,16.25919578363408,0.9899357703472612
4,Chemistry,All Others,0,40,0.0,16,5628,0.283,0.0,0.2589353637711164,69.14856490273975,0.2589353637711164,69.14856490273975,0.31152345997219666
5,Master of Policy Studies,All Others,1,10,9.091,16,5628,0.283,32.06818181818182,9.310208598875567,214.07272925565184,22.75797321930625,182.00454743747002,2.0391022691014286e-06
6,Mathematics,All Others,0,76,0.0,16,5628,0.283,0.0,0.1359958578325334,36.901678994348636,0.1359958578325334,36.901678994348636,0.5725891492971589
7,Mathematical Thinking and Visualization,All Others,0,72,0.0,16,5628,0.283,0.0,0.1435699463827033,38.91835721831596,0.1435699463827033,38.91835721831596,0.5472289413816107
8,Computing and Software Systems,All Others,2,716,0.279,16,5628,0.283,0.9825905292479108,0.3156428506470851,4.491663911326943,0.6669476786008257,3.509073382079032,0.7966690459482999
9,Environmental Studies,All Others,0,22,0.0,16,5628,0.283,0.0,0.4724624163509924,122.78211940577359,0.4724624163509924,122.78211940577359,0.15232717842809815
10,Accounting,All Others,0,22,0.0,16,5628,0.283,0.0,0.4724624163509924,122.78211940577359,0.4724624163509924,122.78211940577359,0.15232717842809815
11,Master of Fine Arts in Creative Writing and Poetics,All Others,4,19,17.391,16,5628,0.283,61.347826086956516,25.078150661417414,171.1513833732233,36.269675425539106,109.80355728626678,1.3871049468640754e-17
12,Physics,All Others,0,25,0.0,16,5628,0.283,0.0,0.41537863090185684,108.72951697724515,0.41537863090185684,108.72951697724515,0.17979646124972481
13,Electrical Engineering,All Others,1,179,0.556,16,5628,0.283,1.9597222222222221,0.5385085153344886,15.025888604031241,1.4212137068877335,13.066166381809019,0.2182920052939583
14,Business,All Others,0,742,0.0,16,5628,0.283,0.0,0.013899840720987617,3.83267613344104,0.013899840720987617,3.83267613344104,0.3064304781631022
15,Education,All Others,1,167,0.595,16,5628,0.283,2.099702380952381,0.5771217940452068,16.088647048722205,1.522580586907174,13.988944667769823,0.18936680335970657
16,All Majors,All Others,16,5628,0.283,16,5628,0.283,1.0,0.505931962221862,1.9765503559181712,0.494068037778138,0.9765503559181712,1.0
17,Mechanical Engineering,All Others,0,95,0.0,16,5628,0.283,0.0,0.10874538160613087,29.612793071098935,0.10874538160613087,29.612793071098935,0.6826893140372754
18,Nursing,F,150,25,85.714,2540,3104,45.004,1.9046119235095613,1.782124840975525,2.0370131132139577,0.12248708253403628,0.1324011897043964,1.0706296851416687e-79
19,Business (MBA),F,46,35,56.79,2540,3104,45.004,1.2619033731894624,1.047737169844339,1.5337646601400738,0.21416620334512348,0.2718612869506114,0.01470231787865706
20,Biology,F,114,68,62.637,2540,3104,45.004,1.3918317902569872,1.2419511234664953,1.5645733405996718,0.14988066679049195,0.17274155034268457,1.7196262244453813e-08
21,Psychology,F,126,48,72.414,2540,3104,45.004,1.609068693999457,1.463460769862039,1.7726514911974203,0.14560792413741797,0.16358279719796331,1.8840315034122394e-22
22,Chemistry,F,20,20,50.0,2540,3104,45.004,1.1110236220472443,0.8285445531560882,1.526564293949969,0.28247906889115604,0.4155406719027248,0.45115245904218626
23,Master of Policy Studies,F,8,3,72.727,2540,3104,45.004,1.6160343593414461,1.1636202790369279,2.317767732320019,0.45241408030451824,0.7017333729785731,0.004772330531457169
24,Mathematics,F,32,44,42.105,2540,3104,45.004,0.9355988396187319,0.72612498991243,1.2270442024289676,0.2094738497063019,0.2914453628102357,0.6663182867105008
25,Mathematical Thinking and Visualization,F,30,42,41.667,2540,3104,45.004,0.9258530183727035,0.7123633775583431,1.2264531043266513,0.2134896408143604,0.3006000859539478,0.6261394377835394
26,Computing and Software Systems,F,193,525,26.88,2540,3104,45.004,0.5972912508499112,0.5286607830804942,0.6772467771588426,0.06863046776941695,0.07995552630893143,4.376021106608948e-16
27,Environmental Studies,F,10,12,45.455,2540,3104,45.004,1.0100214745884037,0.6660410023225195,1.6142436258126729,0.34398047226588424,0.6042221512242691,0.8725424883211726
28,Accounting,F,11,11,50.0,2540,3104,45.004,1.1110236220472443,0.7573569249955,1.7028615329187644,0.35366669705174425,0.5918379108715202,0.5383083750819357
29,Master of Fine Arts in Creative Writing and Poetics,F,17,6,73.913,2540,3104,45.004,1.6423827456350564,1.303506587405893,2.1001590329619773,0.3388761582291633,0.4577762873269209,3.497611384240378e-05
30,Physics,F,8,17,32.0,2540,3104,45.004,0.7110551181102363,0.4274888759554518,1.2832555759460935,0.28356624215478443,0.5722004578358573,0.284356661410757
31,Electrical Engineering,F,24,156,13.333,2540,3104,45.004,0.2962729658792651,0.20847409073816456,0.43628338689338364,0.08779887514110055,0.14001042101411854,1.9803497402785743e-10
32,Business,F,284,458,38.275,2540,3104,45.004,0.8504870853407476,0.7736185475714262,0.9368261470404201,0.07686853776932134,0.08633906169967254,0.0009795808882769655
33,Education,F,138,30,82.143,2540,3104,45.004,1.8252530933633295,1.6926547804239134,1.970356582422451,0.13259831293941615,0.1451034890591214,1.8557732504367324e-54
34,All Majors,F,2540,3104,45.004,2540,3104,45.004,1.0,0.9600399314264766,1.0416233400981025,0.03996006857352341,0.041623340098102535,1.0
35,Mechanical Engineering,F,13,82,13.684,2540,3104,45.004,0.3040696228760879,0.19144259575182043,0.5153352264567058,0.11262702712426748,0.2112656035806179,4.555700307650883e-06
36,Nursing,M,25,150,14.286,3088,2556,54.713,0.26110288675055515,0.18534542715864244,0.3804774937191555,0.07575745959191271,0.11937460696860036,4.945161199053539e-13
37,Business (MBA),M,35,46,43.21,3088,2556,54.713,0.7897556451097038,0.6210614290534636,1.0204138764697244,0.16869421605624013,0.23065823136002062,0.07179312420466334
38,Biology,M,68,114,37.363,3088,2556,54.713,0.6828844730399135,0.5680346969731055,0.8284076061937452,0.11484977606680802,0.1455231331538317,9.015960586589504e-05
39,Psychology,M,48,126,27.586,3088,2556,54.713,0.504198677863141,0.3994492372723783,0.6459509863510986,0.10474944059076269,0.1417523084879576,3.308761154238252e-08
40,Chemistry,M,20,20,50.0,3088,2556,54.713,0.913860103626943,0.6818334383913466,1.2551508325334404,0.23202666523559645,0.34129072890649736,0.6169813105777335
41,Master of Policy Studies,M,2,9,18.182,3088,2556,54.713,0.332312764955252,0.13274267236206042,1.189874715665831,0.1995700925931916,0.857561950710579,0.09909798339967202
42,Mathematics,M,44,32,57.895,3088,2556,54.713,1.0581538041996184,0.877836594787728,1.2875000387561557,0.18031720941189033,0.22934623455653735,0.5310440746627889
43,Mathematical Thinking and Visualization,M,42,30,58.333,3088,2556,54.713,1.0661701208981003,0.8816863033922299,1.301822656020055,0.1844838175058704,0.23565253512195472,0.4881119326564324
44,Computing and Software Systems,M,523,195,72.841,3088,2556,54.713,1.3313337999913404,1.2659504904552268,1.4006162865623013,0.0653833095361136,0.06928248657096092,1.1932477755746642e-28
45,Environmental Studies,M,12,10,54.545,3088,2556,54.713,0.9969382948657559,0.7011259112296095,1.4704337749537206,0.29581238363614637,0.4734954800879647,0.9356911019729611
46,Accounting,M,11,11,50.0,3088,2556,54.713,0.913860103626943,0.6231837098222038,1.400254868688093,0.2906763938047392,0.48639476506114987,0.7414872188791708
47,Master of Fine Arts in Creative Writing and Poetics,M,2,21,8.696,3088,2556,54.713,0.1589321919351205,0.060256889957229554,0.6277744003451472,0.09867530197789096,0.46884220841002666,0.006168258926974997
48,Physics,M,17,8,68.0,3088,2556,54.713,1.2428497409326427,0.9637278782481167,1.632347058349614,0.279121862684526,0.38949731741697136,0.09196309782340252
49,Electrical Engineering,M,155,25,86.111,3088,2556,54.713,1.5738701784686242,1.4781431288500293,1.6770510197376804,0.0957270496185949,0.10318084126905624,4.1670012589459903e-45
50,Business,M,458,284,61.725,3088,2556,54.713,1.1281615295448515,1.0613602703863485,1.1999945618569452,0.06680125915850299,0.0718330323120937,0.00011271667190526309
51,Education,M,29,139,17.262,3088,2556,54.713,0.3154993214902541,0.23035710045688002,0.44444960301167374,0.0851422210333741,0.12895028152141963,1.0703043237914282e-11
52,All Majors,M,3088,2556,54.713,3088,2556,54.713,1.0,0.9669942808607411,1.0341322795724084,0.03300571913925887,0.034132279572408386,1.0
53,Mechanical Engineering,M,82,13,86.316,3088,2556,54.713,1.577611126261249,1.4529474759924577,1.7155693882206862,0.12466365026879145,0.13795826195943706,4.566163015666931e-27
