,Major1,Underrepresented,Y,N,Percent,Y(Campus),N(Campus),Percent(Campus),Ratio_in_Major_vs_Campus,CI95_low,CI95_high,Lower_Error,Upper_Error,"p (proportion test, two-sided)"
0,Nursing,International                                     ,1,174,0.571,276,5368,4.89,0.11685300207039337,0.035353872764452184,0.8622295347379838,0.08149912930594119,0.7453765326675904,0.03220300720768841
1,Business (MBA),International                                     ,13,68,16.049,276,5368,4.89,3.2819824655573444,2.0498392801123084,5.578839722544164,1.232143185445036,2.29685725698682,1.8412520053008444e-06
2,Biology,International                                     ,3,179,1.648,276,5368,4.89,0.3370759675107501,0.1378991995945598,1.1121149402452388,0.1991767679161903,0.7750389727344887,0.0783364776870683
3,Psychology,International                                     ,2,172,1.149,276,5368,4.89,0.23504914209561883,0.08502555182493168,1.0067920558237795,0.15002359027068715,0.7717429137281606,0.051268182999885406
4,Chemistry,International                                     ,3,37,7.5,276,5368,4.89,1.533695652173913,0.6441457441116004,4.834218577286867,0.8895499080623125,3.300522925112954,0.26934892948612144
5,Master of Policy Studies,International                                     ,2,9,18.182,276,5368,4.89,3.718050065876153,1.4742235287458256,13.367510510611815,2.243826537130327,9.649460444735663,0.008047796352705732
6,Mathematics,International                                     ,1,75,1.316,276,5368,4.89,0.26906941266209,0.08182982656396605,1.9605287954978554,0.18723958609812397,1.6914593828357654,0.2588363963911592
7,Mathematical Thinking and Visualization,International                                     ,0,72,0.0,276,5368,4.89,0.0,0.008911827668019234,2.2329467909476466,0.008911827668019234,2.2329467909476466,0.16456494213346096
8,Computing and Software Systems,International                                     ,130,588,18.106,276,5368,4.89,3.7025150377457505,3.0565854109787143,4.497737294739095,0.6459296267670362,0.7952222569933447,2.3677587241124037e-40
9,Environmental Studies,International                                     ,0,22,0.0,276,5368,4.89,0.0,0.02933607807926463,7.042509727909268,0.02933607807926463,7.042509727909268,0.5728061774109969
10,Accounting,International                                     ,1,21,4.545,276,5368,4.89,0.9295125164690382,0.28910503333520216,6.414455378055438,0.640407483133836,5.4849428615864,0.6961454687729853
11,Master of Fine Arts in Creative Writing and Poetics,International                                     ,2,21,8.696,276,5368,4.89,1.7781978575929425,0.6694513707277506,7.050068867116815,1.1087464868651917,5.271871009523872,0.19642245505076783
12,Physics,International                                     ,0,25,0.0,276,5368,4.89,0.0,0.0257902933650174,6.236808982645042,0.0257902933650174,6.236808982645042,0.5140372914319808
13,Electrical Engineering,International                                     ,10,170,5.556,276,5368,4.89,1.1360708534621577,0.6530091210626947,2.159934298802238,0.48306173239946304,1.0238634453400801,0.573108144065485
14,Business,International                                     ,29,713,3.908,276,5368,4.89,0.7992304386890112,0.5592258648998203,1.17638596772662,0.24000457378919093,0.37715552903760874,0.26973544582256215
15,Education,International                                     ,3,165,1.786,276,5368,4.89,0.36516563146997927,0.14948186284302126,1.2035065296680814,0.215683768626958,0.8383408981981021,0.1069968953821296
16,All Majors,International                                     ,276,5368,4.89,276,5368,4.89,1.0,0.8499668337568861,1.1765164948612894,0.1500331662431139,0.1765164948612894,1.0
17,Mechanical Engineering,International                                     ,2,93,2.105,276,5368,4.89,0.430511060259344,0.1565124526835282,1.8260822872506155,0.2739986075758158,1.3955712269912715,0.3177128738563306
18,Nursing,Not URM                                           ,131,44,74.857,4084,1560,72.36,1.0345095844410241,0.9491076712816309,1.1296828393774498,0.08540191315939327,0.0951732549364257,0.43281147479519333
19,Business (MBA),Not URM                                           ,57,24,70.37,4084,1560,72.36,0.9725033554612399,0.8466105340635642,1.1228308784161152,0.12589282139767566,0.15032752295487528,0.7251006464006695
20,Biology,Not URM                                           ,137,45,75.275,4084,1560,72.36,1.0402804834734316,0.9567703998260886,1.1330434922422827,0.08351008364734303,0.09276300876885113,0.34950863087639417
21,Psychology,Not URM                                           ,123,51,70.69,4084,1560,72.36,0.9769158026275794,0.8878986166699075,1.0773450583140454,0.08901718595767183,0.10042925568646599,0.6527492699477551
22,Chemistry,Not URM                                           ,30,10,75.0,4084,1560,72.36,1.0364838393731635,0.8718277461131108,1.2423360064898146,0.1646560932600527,0.2058521671166511,0.6586389548159202
23,Master of Policy Studies,Not URM                                           ,8,3,72.727,4084,1560,72.36,1.0050752381800374,0.7243564507034161,1.4404214783901588,0.28071878747662127,0.43534624021012136,0.9036313601543134
24,Mathematics,Not URM                                           ,60,16,78.947,4084,1560,72.36,1.0910356203928038,0.9728538904871977,1.2277681327135732,0.11818172990560605,0.13673251232076944,0.13455110460142458
25,Mathematical Thinking and Visualization,Not URM                                           ,49,23,68.056,4084,1560,72.36,0.940513113505278,0.8058521170823062,1.1047339363894892,0.1346609964229718,0.16422082288421125,0.47012881935242123
26,Computing and Software Systems,Not URM                                           ,516,202,71.866,4084,1560,72.36,0.9931767151653712,0.9463963892399232,1.0427677714458112,0.04678032592544801,0.04959105628044003,0.7893906857773557
27,Environmental Studies,Not URM                                           ,21,1,95.455,4084,1560,72.36,1.319161250111299,1.2061903534176344,1.4456758406742807,0.11297089669366467,0.12651459056298164,1.7715243818985782e-09
28,Accounting,Not URM                                           ,18,4,81.818,4084,1560,72.36,1.130709642952542,0.9370195678193991,1.377879382631913,0.19369007513314296,0.24716973967937084,0.194059756487878
29,Master of Fine Arts in Creative Writing and Poetics,Not URM                                           ,17,6,73.913,4084,1560,72.36,1.0214623344547118,0.8117370588402418,1.3047003119277782,0.20972527561446996,0.28323797747306645,0.8126201712264008
30,Physics,Not URM                                           ,18,7,72.0,4084,1560,72.36,0.995024485798237,0.7892342866743006,1.2736295740015888,0.20579019912393637,0.27860508820335184,0.983078571115199
31,Electrical Engineering,Not URM                                           ,127,53,70.556,4084,1560,72.36,0.9750625748177169,0.8873122918454548,1.0739017615617001,0.08775028297226206,0.09883918674398329,0.6201812408706708
32,Business,Not URM                                           ,569,173,76.685,4084,1560,72.36,1.0597651475351841,1.0155413351121967,1.1062935654616364,0.04422381242298745,0.04652841792645224,0.007670561726177702
33,Education,Not URM                                           ,117,51,69.643,4084,1560,72.36,0.9624492794179376,0.8712859819548293,1.0658363524427052,0.09116329746310825,0.10338707302476768,0.47160290820575546
34,All Majors,Not URM                                           ,4084,1560,72.36,4084,1560,72.36,1.0,0.97745753192044,1.023062350376768,0.022542468079559952,0.02306235037676796,1.0
35,Mechanical Engineering,Not URM                                           ,75,20,78.947,4084,1560,72.36,1.0910356203928038,0.984142525112745,1.2128432244256753,0.10689309528005875,0.1218076040328715,0.09689542183047001
36,Nursing,URM                                               ,43,132,24.571,1284,4360,22.75,1.0800712060525144,0.838021688201813,1.415683750680359,0.2420495178507014,0.3356125446278446,0.5229253383520129
37,Business (MBA),URM                                               ,11,70,13.58,1284,4360,22.75,0.596938579285412,0.3621738466611247,1.0617211318700452,0.23476473262428738,0.4647825525846332,0.08156450347948047
38,Biology,URM                                               ,42,140,23.077,1284,4360,22.75,1.0143781452192668,0.7830296734917609,1.3374322620993548,0.23134847172750594,0.323054116880088,0.8657767004966735
39,Psychology,URM                                               ,49,125,28.161,1284,4360,22.75,1.2378522576717872,0.9799538543879952,1.5856549753036382,0.257898403283792,0.347802717631851,0.07265014440900469
40,Chemistry,URM                                               ,7,33,17.5,1284,4360,22.75,0.7692367601246105,0.42582159821617444,1.5554690269594957,0.3434151619084361,0.7862322668348852,0.5331230875273955
41,Master of Policy Studies,URM                                               ,1,10,9.091,1284,4360,22.75,0.3996035117530445,0.12892891434883352,2.551068188099832,0.27067459740421096,2.1514646763467877,0.46531033974713776
42,Mathematics,URM                                               ,15,61,19.737,1284,4360,22.75,0.867560255779636,0.5693801017728998,1.3924036007728398,0.29818015400673625,0.5248433449932037,0.6108397140611801
43,Mathematical Thinking and Visualization,URM                                               ,23,49,31.944,1284,4360,22.75,1.4041623399100034,1.018081551527775,1.992894638920766,0.38608078838222837,0.5887322990107626,0.0389658648823485
44,Computing and Software Systems,URM                                               ,72,646,10.028,1284,4360,22.75,0.44078827480280114,0.35460640784289205,0.5544582830986008,0.08618186695990909,0.11367000829579965,9.889107670760586e-13
45,Environmental Studies,URM                                               ,1,21,4.545,1284,4360,22.75,0.19980175587652224,0.062452132244528856,1.3759184356535687,0.13734962363199338,1.1761166797770466,0.11983764150342116
46,Accounting,URM                                               ,3,19,13.636,1284,4360,22.75,0.5994052676295667,0.2608110462718276,1.792407762499173,0.3385942213577391,1.1930024948696063,0.43940478534306837
47,Master of Fine Arts in Creative Writing and Poetics,URM                                               ,4,19,17.391,1284,4360,22.75,0.7644588920493024,0.36623183803395465,1.9340667535280522,0.39822705401534775,1.1696078614787497,0.6846143435990533
48,Physics,URM                                               ,7,18,28.0,1284,4360,22.75,1.2307788161993771,0.7071407883484467,2.362654595428868,0.5236380278509304,1.131875779229491,0.40432391429923176
49,Electrical Engineering,URM                                               ,43,137,23.889,1284,4360,22.75,1.0500692281066113,0.8138682886550178,1.3780575181752468,0.23620093945159348,0.3279882900686355,0.6694183506213467
50,Business,URM                                               ,144,598,19.407,1284,4360,22.75,0.8530619442275235,0.7331231896598379,0.997591815801918,0.11993875456768555,0.14452987157439456,0.0465197126154466
51,Education,URM                                               ,48,120,28.571,1284,4360,22.75,1.255896751223854,0.9926675453381008,1.6116651423551431,0.26322920588575316,0.3557683911312892,0.05737584492715543
52,All Majors,URM                                               ,1284,4360,22.75,1284,4360,22.75,1.0,0.9342871765774664,1.0703347162092671,0.0657128234225336,0.07033471620926712,1.0
53,Mechanical Engineering,URM                                               ,18,77,18.947,1284,4360,22.75,0.8328578455484505,0.5638469033007912,1.2852735898433105,0.2690109422476593,0.45241574429486,0.4436987003844538
